Basiswert,Yahoo,Produkte,Kurs EUR,Vola typisch %,Vola std %,std/MAD,Sprungtage/Jahr,groesster Tag %,engster KO %,KO in Sigma,Hebel,Spread %,Sleeve-Tagesvola %,WKN
Taiwan Semiconductor Manufacturing Co (TSMC),TSM,343,371.6578275090377,1.8723486038176598,2.8732979575052506,1.5345956151790787,0.0,7.644055596774724,3.925959139443557,2.096809927082302,27.674278581738,1.8867924528301903,51.815896864178114,FG6ZXQ
Apple,AAPL,1137,275.408330464716,1.479627905947418,1.997811707307626,1.3502122386833537,0.0,7.353864245054432,2.0954084512534754,1.416172568002337,31.4856234473164,1.5151515151515165,46.587007088801684,FG6R0V
Marvell Technology,MRVL,166,195.05031459803752,5.942689626502626,5.982049338847859,1.006623215213815,33.73228346456693,32.5206299280056,9.865502501064007,1.660107311858725,7.54406554837469,1.8181818181818195,44.83204007598212,FG32GA
Microsoft,MSFT,1294,430.5387088999828,2.0734670988762973,2.782766916190141,1.3420839509333156,1.984251968503937,15.506733300956487,4.436885581610055,2.1398389123293047,20.4055869155432,0.0,42.3103131026395,FC2JEX
Amazon,AMZN,1374,223.2133786574871,1.883515389442303,2.810584153350641,1.492201321584549,1.984251968503937,15.320588778032107,4.299438386922649,2.2826669805950917,22.2498455447114,1.9417475728155356,41.90792649617818,FG2QA8
Walmart,WMT,139,92.20273799276984,1.3959483599550788,1.8145764334132457,1.2998879367368847,1.984251968503937,9.151361710052308,2.5768162794307807,1.8459252171145513,29.8096031219695,0.0,41.612666589025125,FG6U1F
ServiceNow,NOW,176,121.62651833362025,3.762480727489571,3.86642587052244,1.0276267575999583,11.905511811023622,17.74522263479331,8.420140111980912,2.2379224564424702,10.5577178409118,0.0,39.72320990270345,FG6GWH
Salesforce,CRM,250,222.28450507832676,3.1072614935559693,3.9010852577880604,1.2554737558710045,7.937007874015748,22.58049267441564,8.209095710144389,2.6419069419065364,12.37572384324,1.4563106796116625,38.45461015298214,FG6WFJ
CoreWeave,CRWV,74,77.47640318416524,5.1271984618761355,6.687859527530684,1.3043886592764098,33.73228346456693,21.50608664367981,12.750808625807725,2.486895859525978,7.46890280434408,1.9230769230769247,38.294546970335325,FG2ZHU
Meta Platforms (Facebook),META,1088,530.9106158547082,2.488479726804647,2.899239558180745,1.1650645681182772,3.968503937007874,8.808961112881498,6.06932020165526,2.438967107619808,15.0491925284649,0.0,37.449610511864876,FG5U0Z
Freeport-McMoRan,FCX,110,62.67377130315029,3.0935040713864836,3.0797255567228263,0.9955459846356427,3.968503937007874,12.620808685451868,7.881543328233043,2.547772088336253,11.3928894492684,0.0,35.24394989616791,FG36T0
Nebius Group,NBIS,99,195.12666982268894,6.240151717396284,8.984979638093554,1.4398655745893556,61.51181102362205,34.14067067129276,17.492119091480077,2.8031560583239634,5.61759962156086,1.7142857142857157,35.05467392612771,FG29CS
Coinbase Global,COIN,423,161.52436833046474,4.791765969768591,4.5628584171743025,0.95222897903644,15.874015748031496,10.588095812657372,11.666371927404459,2.4346706414728896,7.02651578001707,1.8518518518518534,33.66941920072781,FC8HUU
Applied Materials,AMAT,282,393.1667082616179,5.038187433806382,5.214130823207248,1.0349219618587988,21.826771653543307,14.966198872657133,15.277572897842386,3.0323550083368147,6.6774399699508,1.960784313725492,33.64219414660259,FC7FQB
Micron Technology,MU,1714,903.7406541573421,5.3185086964139785,6.198222313539701,1.1654060691334156,39.68503937007874,19.291611835261314,10.378250267962038,1.9513459242737738,6.08297716906419,0.0,32.35236697375557,FC9X95
Newmont,NEM,237,109.56377044241694,3.1334806402334126,2.9775606575130666,0.9502406427158486,1.984251968503937,8.67999243792752,10.254984381735106,3.272713496315463,9.94972674003859,1.6260162601626031,31.17727611552363,FE1XR9
Super Micro Computer,SMCI,368,34.907386813565154,4.75518980400693,6.143159422627543,1.2918852192715946,43.653543307086615,33.32250706010124,14.928403372749191,3.1393916937174344,6.53487966101864,1.8518518518518534,31.074593134488097,FG6L7E
Sandisk /DE,SNDK,158,1557.0812790497505,8.738225592912059,8.824859574171844,1.0099143676640778,71.43307086614173,25.99395037665051,32.07799757418535,3.670996729611234,3.42936373273623,1.9880715705765513,29.966553936800157,FG56BE
Tesla,TSLA,2170,305.48042003787225,2.6654812150170946,3.6357799075850004,1.3640238344586055,3.968503937007874,14.523677416617442,8.620733289702782,3.234212734696573,10.6711774637807,0.0,28.443823071821217,FG18S3
